chaine;date_creation;date_fin;predecesseur;pays;categorie;sous_categorie;groupe;diffusion;gratuite;observations
13ème Rue;13/11/1997;;;France;Séries;Policier;NBCUniversal;Câble,Satellite,IPTV;Non;
A partir d'ici on a pas mal de doublons;;;;;;;;;;
AB Moteurs;31/03/1996;;;France;Sport;Sports mécaniques;AB Groupe (1996-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;
AB Sat;16/12/1996;;;France;Services;Bouquet;AB Groupe;Satellite;Non;À conserver ou non selon nos règles (bouquet et non chaîne)
AB Sports;12/12/1997;2002;;France;Sport;AB Groupe;Câble,Satellite;Non;Première apparition relevée sur CanalSatellite en décembre 1997. Source : Wiki CSAT (12/1997);
AB1;01/12/1995;;;France;Divertissement;;AB Groupe (1995-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;
AB3;06/10/1988;;;Belgique;Généraliste;;AB Groupe (1988-2017), Mediawan Thematics (2017-);Hertzien,Câble,Satellite,IPTV;Oui;
AB4;03/06/2002;;;Belgique;Jeunesse;;AB Groupe (2002-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Oui;
ABXplore;14/12/2017;ABXplore;Belgique;Documentaire;;Mediawan;Câble,Satellite,IPTV;Oui;;
Action;13/09/1996;;;France;Cinéma;Action;Mediawan Thematics;Câble,Satellite,IPTV;Non;
Adventure One;2007;2011;;France;Documentaire;Aventure;National Geographic Partners;Câble,Satellite;Non;
Africa 24;30/05/2009;;;France;Information;Africa 24;ADSL,Câble,Satellite;Oui;Chaîne d'information panafricaine en français. Source : KingOfSat, Univers Freebox;
Africanews;20/04/2016;;France;Information;Internationale;Euronews;Satellite,IPTV;Oui;Version francophone;
Alegria;14/05/2004;2009;;France;Culture;Alegria TV;CanalSatellite,Câble;Non;Chaîne consacrée aux cultures du Sud-Ouest, de l'Espagne et de l'Amérique latine;
Alice TV;;;;;;;;;;
AlloCiné Télévision;2000;2002;;France;Cinéma;AlloCiné;Satellite,Câble;Non;Chaîne consacrée à l'actualité du cinéma.;Wiki CSAT
Animal Planet;2001;2023;;France;Nature;;Warner Bros. Discovery;Câble,Satellite,IPTV;Non;
Animaux;01/09/1996;;;France;Nature;;AB Groupe (1996-2017), Mediawan Thematics (2017-);Câble,Satellite,IPTV;Non;
Animax;2007;2013;;France;Jeunesse;Animation japonaise;Sony Pictures Television;Câble,Satellite;Non;
Antenne 2;06/01/1975;06/09/1992;Deuxième chaîne de l'ORTF;France;Généraliste;;France Télévisions;Hertzien,TNT,Câble,Satellite,IPTV;Oui;
Arte;30/05/1992;;La Sept;France;Culture;;ARTE GEIE;Hertzien,TNT,Câble,Satellite,IPTV;Oui;
ASSE TV;2005;2011;;France;Sport;Club;AS Saint-Étienne;IPTV;Non;
Astrocenter TV;2007;2019;;France;Divertissement;Ésotérisme;Astrocenter;Câble,Satellite,IPTV;Non;
Auto Moto;08/09/2010;;;France;Sport;Automobile;Mediawan Thematics;Câble,Satellite,IPTV;Non;
Automoto;14/03/1996;31/12/1998;;France;Sport;Automobile;AB Groupe;Câble,Satellite;Non;
AXN;1998;;;France;Séries;Action;Sony Pictures Television;Câble,Satellite,IPTV;Non;
Baby First;2007;;;France;Jeunesse;Fox International Channels;ADSL,Câble,Satellite,IPTV;Non;Version française. Source : KingOfSat, TéléSatellite;
Baby TV;17/10/2005;;;France;Jeunesse;Préscolaire;Fox Networks Group;Câble,Satellite,IPTV;Non;
BabyFirst;2007;;;France;Jeunesse;Préscolaire;Blue Ant Media;Câble,Satellite,IPTV;Non;
Bandiagara;2005;2008;;France;Jeunesse;Afrique;TPS;Satellite;Non;
BDM TV;2008;2010;;France;Information;BDM TV;ADSL;Oui;Source : Univers Freebox;
beIN SPORTS 1;01/06/2012;;France;Sport;;beIN Media Group;Satellite,Câble,IPTV;Non;;
