annee;chaine;nombre
2001;France 2;62457
2001;TF1;57765
2001;France 3;48922
2001;M6;36802
2001;Canal +;31280
2001;La Cinquième;28557
2001;ARTE;13883
2001;La Chaîne Info;438
2001;Chasse et pêche;13
2001;MCM;5
2001;Mezzo;3
2001;Encyclopedia;2
2001;Planète;2
2001;histoire;2
2001;AB Moteurs;1
2001;Canal J;1
2001;Euronews;1
2001;Match Tv;1
2001;Monte Carlo TMC;1
2001;Multichaînes;1
2001;TPS Star;1
2001;TV5 France Belgique Suisse;1
2001;TV5MONDE;1
2001;Virdys;1
2002;France 2;72618
2002;TF1;56788
2002;France 3;54417
2002;M6;37028
2002;Canal +;32610
2002;France 5;25101
2002;Canal J;18008
2002;TV5 France Belgique Suisse;17498
2002;La Chaîne Info;17385
2002;Série Club;15101
2002;ARTE;14610
2002;Canal Jimmy;12079
2002;Paris Première;11074
2002;Monte Carlo TMC;10296
2002;Planète;9843
2002;RTL 9;8252
2002;MCM;8109
2002;Eurosport France;7641
2002;Euronews;914
2002;La Cinquième;425
2002;I>TELE;87
2002;Sport +;10
2002;Escales;5
2002;Chasse et pêche;3
2002;Mezzo;2
2002;Multichaînes;2
2002;Encyclopedia;1
2002;Equidia;1
2002;RTR Planeta;1
2003;France 2;74360
2003;France 3;56760
2003;TF1;56221
2003;M6;37762
2003;Canal +;33614
2003;France 5;31621
2003;La Chaîne Info;26168
2003;Canal J;17646
2003;ARTE;17148
2003;TV5 France Belgique Suisse;17003
2003;Canal Jimmy;12709
2003;Série Club;11767
2003;Monte Carlo TMC;11260
2003;Paris Première;10036
2003;Planète;9870
2003;Télétoon;8858
2003;RTL 9;7960
2003;MCM;7911
2003;Eurosport France;7708
2003;Demain !;6606
2003;Chasse et pêche;5391
2003;Mangas;5138
2003;Equidia;5104
2003;Encyclopedia;4466
2003;Animaux;3745
2003;Escales;3459
2003;AB Moteurs;3398
2003;Mezzo;3374
2003;13ème Rue;3190
2003;Toute l'Histoire;3057
2003;Seasons;2937
2003;histoire;2623
2003;Fun TV;2141
2003;Sport +;2088
2003;Teva;1968
2003;RFM TV;1944
2003;Public Sénat;1943
2003;Festival;1662
2003;La chaine parlementaire Assemblée Nationale;1427
2003;La chaîne Météo;488
2003;Euronews;366
2003;Al Jazeera;131
2003;Al Alam News Channel;1
2003;Al Arabiya;1
2003;Al Etejah;1
